"ID2009","Candidate","State","Constituency_No2009","Position2009","Sex","Party2009","Constituency_Name2009","Vote_Share_Percentage2009","Margin_Percentage2009","ReNominated","ID2014","Candidate2014","Constituency_No2014","Position2014","Party2014","Constituency_Name2014","Vote_Share_Percentage2014","Margin_Percentage2014","PostGraduate","CriminalCase","Moveable","Immoveable"
5011,"NIKHIL KUMAR CHOUDHARY","Bihar",11,1,"M","BJP","KATIHAR",37.23,1.93,1,5011,"NIKHIL KUMAR CHOUDHARY",11,2,"BJP","KATIHAR",32.37,22.07,0,1,1610530,6400000
5011,"SHAH TARIQ ANWAR","Bihar",11,2,"M","NCP","KATIHAR",35.3,28.98,1,5011,"TARIQ ANWAR",11,1,"NCP","KATIHAR",44.11,11.73,0,0,NA,NA
5012,"UDAY SINGH ALIAS PAPPU SINGH","Bihar",12,1,"M","BJP","PURNIA",51.5,26.42,1,5012,"UDAY SINGH ALIAS PAPPU SINGH",12,2,"BJP","PURNIA",29.69,17.47,0,1,90100000,3.49e+08
5012,"SHANTI PRIYA","Bihar",12,2,"F","IND","PURNIA",25.08,21.84,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,617765,7180000
5013,"SHARAD YADAV","Bihar",13,1,"M","JD(U)","MADHEPURA",48.99,23.48,1,5013,"SHARAD YADAV",13,2,"JD(U)","MADHEPURA",30.22,5.82,0,0,11100000,4600000
5013,"PROF. RAVINDRA CHARAN YADAV","Bihar",13,2,"M","RJD","MADHEPURA",25.51,16.55,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6834467,9422721
5014,"KIRTI AZAD","Bihar",14,1,"M","BJP","DARBHANGA",43.85,8.51,1,5014,"KIRTI AZAD",14,1,"BJP","DARBHANGA",38.02,4.23,0,1,9689047,1e+05
5014,"MD. ALI ASHRAF FATMI","Bihar",14,2,"M","RJD","DARBHANGA",35.33,27.87,1,5014,"MD. ALI ASHRAF FATMI",14,2,"RJD","DARBHANGA",33.79,21.18,1,0,1437519,75000
5015,"CAPTAIN  JAI NARAYAN PRASAD NISHAD","Bihar",15,1,"M","JD(U)","MUZAFFARPUR",31.37,7.69,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,269831,14900000
5015,"BHAGWANLAL SAHNI","Bihar",15,2,"M","LJP","MUZAFFARPUR",23.69,6.27,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,180629,1
5016,"RAGHUVANSH PRASAD SINGH","Bihar",16,1,"M","RJD","VAISHALI",45.53,3.57,1,5016,"RAGHUVANSH PRASAD SINGH",16,2,"RJD","VAISHALI",22.27,6.59,1,0,1165038,4869200
5016,"VIJAY KUMAR SHUKLA","Bihar",16,2,"M","JD(U)","VAISHALI",41.96,39.16,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1554907,29600000
5017,"PURNMASI RAM","Bihar",17,1,"M","JD(U)","GOPALGANJ",39.64,8.42,1,501,"PURNMASI RAM",1,2,"INC","VALMIKI NAGAR",27.35,18.29,0,1,1656856,18700000
5017,"ANIL KUMAR","Bihar",17,2,"M","RJD","GOPALGANJ",31.22,21.8,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3486950,1752000
5018,"OM PRAKASH YADAV","Bihar",18,1,"M","IND","SIWAN",36.8,9.88,1,5018,"OM PRAKASH YADAV",18,1,"BJP","SIWAN",42.16,12.88,0,0,781500,NA
5018,"HENA SHAHAB","Bihar",18,2,"F","RJD","SIWAN",26.91,15.54,1,5018,"HENA SHAHAB",18,2,"RJD","SIWAN",29.28,20.11,0,0,2144931,18100000
5019,"UMA SHANAKER SINGH","Bihar",19,1,"M","RJD","MAHARAJGANJ",35.3,0.47,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,766451,2878000
5019,"PRABHU NATH SINGH","Bihar",19,2,"M","JD(U)","MAHARAJGANJ",34.83,21.46,1,5019,"PRABHU NATH SINGH",19,2,"RJD","MAHARAJGANJ",33.35,15.69,0,1,739253,3708500
5020,"LALU PRASAD","Bihar",20,1,"M","RJD","SARAN",47.21,8.92,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7290283,24800000
5020,"RAJIV PRATAP RUDY","Bihar",20,2,"M","BJP","SARAN",38.29,30.54,1,5020,"RAJIV PRATAP RUDY",20,1,"BJP","SARAN",41.14,4.74,1,0,9005315,16300000
5021,"RAM SUNDAR DAS","Bihar",21,1,"M","JD(U)","HAJIPUR",44.44,6.84,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12300000,2355798
5021,"RAM VILAS PASWAN","Bihar",21,2,"M","LJP","HAJIPUR",37.61,33.72,1,5021,"RAMVILAS PASWAN",21,1,"LJP","HAJIPUR (SC)",50.36,24.93,0,0,9338791,2500000
5022,"ASWAMEDH DEVI","Bihar",22,1,"F","JD(U)","UJIARPUR",31.92,4.49,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4e+05,10300000
5022,"ALOK KUMAR MEHTA","Bihar",22,2,"M","RJD","UJIARPUR",27.43,16.99,1,5022,"ALOK KUMAR MEHTA",22,2,"RJD","UJIARPUR",29.91,15.98,0,0,5546410,5956
5023,"MAHESHWAR HAZARI","Bihar",23,1,"M","JD(U)","SAMASTIPUR",44.37,17.85,1,5023,"MAHESHWAR HAZARI",23,3,"JD(U)","SAMASTIPUR (SC)",23.18,19.8,0,0,2103616,4940000
5023,"RAM CHANDRA PASWAN","Bihar",23,2,"M","LJP","SAMASTIPUR",26.52,10.85,1,5023,"RAM CHANDRA PASWAN",23,1,"LJP","SAMASTIPUR (SC)",31.33,0.8,0,0,4599541,11400000
5024,"DR. MONAZIR HASSAN","Bihar",24,1,"M","JD(U)","BEGUSARAI",28.64,5.69,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1687003,2555000
5024,"SHATRUGHNA PRASAD SINGH","Bihar",24,2,"M","CPI","BEGUSARAI",22.95,5.99,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,36634,1125000
